676,77,714,77,714,98,676,98
711,77,808,77,808,98,711,98
970,77,1013,77,1013,97,970,97
1017,77,1096,77,1096,98,1017,98
956,82,964,82,964,95,956,95
60,81,385,81,385,149,60,149
691,113,765,111,766,133,692,135
915,111,958,111,958,135,915,135
959,110,1017,112,1017,134,959,131
1020,108,1097,112,1096,136,1019,131
649,114,695,114,695,136,649,136
767,114,806,114,806,130,767,130
648,148,765,144,766,167,649,170
994,146,1029,146,1029,165,994,165
1032,146,1095,146,1095,167,1032,167
765,148,806,148,806,165,765,165
68,325,116,327,116,346,67,344
1053,326,1095,326,1095,345,1053,345
119,327,140,327,140,345,119,345
378,327,439,327,439,345,378,345
442,327,510,327,510,345,442,345
990,327,1052,327,1052,345,990,345
378,364,452,364,452,385,378,385
68,367,125,367,125,388,68,388
128,367,186,367,186,388,128,388
856,366,1095,366,1095,418,856,418
71,404,81,404,81,420,71,420
85,402,143,402,143,423,85,423
144,402,222,402,222,423,144,423
380,431,420,431,420,448,380,448
421,431,445,431,445,448,421,448
445,431,493,431,493,448,445,448
70,436,111,436,111,458,70,458
114,433,171,437,170,457,113,453
175,436,249,436,249,459,175,459
380,466,463,466,463,487,380,487
68,469,103,469,103,490,68,490
106,469,168,469,168,490,106,490
73,622,178,624,178,648,72,646
612,622,654,622,654,643,612,643
654,622,701,622,701,643,654,643
841,622,867,622,867,641,841,641
1002,622,1075,622,1075,641,1002,641
792,623,829,623,829,646,792,646
870,623,916,623,916,643,870,643
73,684,117,684,117,703,73,703
119,684,162,684,162,705,119,705
165,684,222,684,222,703,165,703
636,684,698,684,698,706,636,706
1028,684,1077,684,1077,705,1028,705
71,713,111,713,111,730,71,730
113,713,203,713,203,733,113,733
251,713,289,713,289,730,251,730
206,716,248,716,248,733,206,733
73,777,117,780,115,800,72,797
119,778,162,778,162,799,119,799
636,778,698,778,698,800,636,800
1028,778,1077,778,1077,799,1028,799
165,779,223,781,222,800,164,798
73,806,111,806,111,826,73,826
112,808,203,806,204,826,113,829
251,806,289,806,289,826,251,826
205,810,248,810,248,829,205,829
73,873,117,873,117,892,73,892
119,873,162,873,162,894,119,894
636,873,698,873,698,896,636,896
1028,873,1077,873,1077,894,1028,894
165,874,223,877,222,894,165,892
73,902,111,902,111,919,73,919
113,902,203,902,203,921,113,921
251,902,289,902,289,919,251,919
206,904,248,904,248,923,206,923
636,967,698,967,698,990,636,990
1028,967,1077,967,1077,988,1028,988
73,968,116,970,115,989,72,987
119,969,162,969,162,988,119,988
165,968,223,971,222,989,164,987
73,996,111,996,111,1013,73,1013
113,996,203,996,203,1015,113,1015
251,996,289,996,289,1013,251,1013
206,997,248,997,248,1017,206,1017
784,1138,864,1138,864,1158,784,1158
988,1138,1050,1138,1050,1158,988,1158
1052,1138,1077,1138,1077,1158,1052,1158
999,1184,1050,1184,1050,1204,999,1204
1052,1184,1077,1184,1077,1204,1052,1204
827,1185,862,1185,862,1203,827,1203
988,1228,1050,1228,1050,1251,988,1251
816,1230,864,1230,864,1251,816,1251
1052,1230,1079,1230,1079,1251,1052,1251
63,1284,124,1284,124,1301,63,1301
127,1284,179,1284,179,1301,127,1301
802,1319,864,1319,864,1344,802,1344
988,1319,1055,1319,1055,1341,988,1341
682,1321,756,1321,756,1340,682,1340
759,1321,800,1321,800,1341,759,1341
1052,1321,1079,1321,1079,1341,1052,1341
65,1322,92,1322,92,1340,65,1340
100,1321,166,1324,165,1342,99,1340
253,1322,319,1322,319,1341,253,1341
324,1322,353,1322,353,1346,324,1346
206,1325,251,1323,252,1343,207,1345
168,1325,205,1325,205,1346,168,1346
