1079,78,1178,78,1178,102,1079,102
92,76,376,76,376,157,92,157
406,80,463,80,463,100,406,100
467,80,501,80,501,100,467,100
987,80,1073,80,1073,102,987,102
1281,80,1382,80,1382,102,1281,102
406,106,537,106,537,128,406,128
539,108,586,108,586,128,539,128
1273,134,1382,134,1382,157,1273,157
987,136,1041,136,1041,157,987,157
1045,136,1089,136,1089,157,1045,157
1273,177,1382,177,1382,199,1273,199
989,178,1028,181,1027,200,987,197
1031,179,1075,179,1075,199,1031,199
76,227,112,227,112,249,76,249
402,227,455,227,455,253,402,253
116,229,151,229,151,249,116,249
457,229,491,229,491,249,457,249
1230,251,1365,251,1365,284,1230,284
1027,253,1097,253,1097,282,1027,282
76,259,133,262,132,283,75,279
135,256,195,261,192,285,133,279
403,259,458,261,457,282,402,279
462,256,521,261,519,285,460,279
74,288,112,288,112,308,74,308
117,284,176,290,174,313,115,308
179,288,207,288,207,308,179,308
400,288,439,288,439,308,400,308
441,288,525,288,525,312,441,312
527,288,551,288,551,308,527,308
74,316,124,316,124,336,74,336
128,316,165,316,165,336,128,336
402,316,437,316,437,338,402,338
439,316,477,316,477,336,439,336
76,343,173,345,173,366,76,364
177,344,207,344,207,364,177,364
211,344,273,344,273,364,211,364
401,342,528,344,527,366,400,364
529,344,560,344,560,364,529,364
564,344,624,344,624,364,564,364
132,475,255,475,255,499,132,499
282,475,402,475,402,497,282,497
404,475,449,475,449,495,404,495
257,477,278,477,278,495,257,495
1283,487,1361,487,1361,507,1283,507
1106,489,1154,489,1154,507,1106,507
132,503,183,503,183,521,132,521
185,503,262,505,261,527,184,524
264,504,327,509,325,527,262,522
1067,578,1106,578,1106,598,1067,598
1106,578,1154,578,1154,598,1106,598
96,580,139,580,139,598,96,598
846,576,921,581,920,602,845,598
1289,580,1361,580,1361,598,1289,598
263,642,269,642,269,654,263,654
98,642,217,642,217,664,98,664
1085,642,1128,642,1128,664,1085,664
1293,642,1359,642,1359,664,1293,664
219,644,263,644,263,664,219,664
1126,644,1152,644,1152,664,1126,664
96,678,197,678,197,699,96,699
205,678,306,678,306,699,205,699
239,741,326,741,326,769,239,769
98,744,153,747,152,768,97,766
882,745,920,745,920,765,882,765
1097,745,1124,745,1124,767,1097,767
1124,745,1152,745,1152,765,1124,765
1281,745,1359,745,1359,767,1281,767
155,747,237,747,237,767,155,767
238,824,326,819,327,847,240,851
1097,821,1128,821,1128,844,1097,844
1281,821,1359,821,1359,844,1281,844
882,823,920,823,920,844,882,844
1126,823,1152,823,1152,844,1126,844
98,825,153,825,153,848,98,848
155,825,237,825,237,844,155,844
1281,930,1359,930,1359,952,1281,952
1075,932,1158,932,1158,952,1075,952
128,954,241,954,241,977,128,977
245,954,326,954,326,977,245,977
1277,973,1359,973,1359,997,1277,997
1061,975,1158,975,1158,995,1061,995
636,1007,674,1007,674,1029,636,1029
130,1011,141,1011,141,1029,130,1029
149,1009,217,1009,217,1029,149,1029
229,1009,342,1009,342,1029,229,1029
344,1009,423,1009,423,1029,344,1029
425,1009,475,1009,475,1031,425,1031
674,1009,701,1009,701,1029,674,1029
954,1015,985,1015,985,1035,954,1035
987,1015,1043,1015,1043,1035,987,1035
1045,1014,1083,1017,1081,1038,1043,1035
1081,1015,1112,1015,1112,1037,1081,1037
1108,1015,1158,1015,1158,1037,1108,1037
1293,1015,1359,1015,1359,1037,1293,1037
985,1057,1106,1057,1106,1081,985,1081
1110,1057,1158,1057,1158,1077,1110,1077
1281,1057,1357,1057,1357,1079,1281,1079
273,1228,394,1228,394,1251,273,1251
124,1230,247,1230,247,1253,124,1253
249,1230,269,1230,269,1251,249,1251
398,1230,441,1230,441,1251,398,1251
1265,1238,1361,1238,1361,1263,1265,1263
1106,1240,1154,1240,1154,1261,1106,1261
124,1257,175,1257,175,1277,124,1277
177,1259,255,1259,255,1277,177,1277
257,1259,320,1259,320,1277,257,1277
124,1347,247,1347,247,1371,124,1371
249,1347,269,1347,269,1367,249,1367
273,1347,360,1347,360,1367,273,1367
364,1347,408,1347,408,1367,364,1367
1283,1355,1363,1355,1363,1377,1283,1377
1106,1357,1154,1357,1154,1377,1106,1377
124,1375,175,1375,175,1394,124,1394
177,1375,209,1375,209,1394,177,1394
209,1375,276,1378,275,1399,208,1395
1267,1460,1363,1460,1363,1484,1267,1484
1077,1462,1160,1462,1160,1482,1077,1482
1269,1502,1329,1502,1329,1525,1269,1525
1011,1504,1061,1504,1061,1525,1011,1525
1063,1504,1160,1504,1160,1525,1063,1525
1329,1504,1361,1504,1361,1527,1329,1527
1220,1551,1259,1551,1259,1583,1220,1583
997,1553,1083,1553,1083,1581,997,1581
1089,1553,1162,1553,1162,1581,1089,1581
1263,1553,1361,1553,1361,1583,1263,1583
1257,1569,1267,1569,1267,1583,1257,1583
1267,1637,1293,1637,1293,1660,1267,1660
1116,1639,1160,1639,1160,1660,1116,1660
1289,1639,1361,1639,1361,1662,1289,1662
1307,1680,1361,1680,1361,1702,1307,1702
1122,1682,1160,1682,1160,1702,1122,1702
76,1746,183,1746,183,1772,76,1772
189,1744,277,1748,275,1773,188,1768
104,1799,219,1799,219,1821,104,1821
221,1799,310,1799,310,1821,221,1821
314,1799,354,1799,354,1821,314,1821
568,1799,662,1799,662,1821,568,1821
368,1801,429,1801,429,1821,368,1821
431,1801,473,1801,473,1821,431,1821
474,1803,566,1800,566,1821,475,1824
664,1801,721,1801,721,1823,664,1823
723,1801,952,1801,952,1823,723,1823
