51,46,233,44,233,104,52,106
617,80,688,80,688,105,617,105
53,128,82,128,82,141,53,141
84,127,125,129,125,143,83,142
125,128,150,128,150,141,125,141
53,149,84,149,84,164,53,164
85,150,130,150,130,164,85,164
132,150,162,150,162,164,132,164
53,168,81,168,81,181,53,181
82,167,114,169,113,182,81,181
136,168,173,168,173,181,136,181
116,169,134,169,134,181,116,181
53,208,82,208,82,226,53,226
81,208,101,208,101,225,81,225
260,208,292,208,292,226,260,226
292,208,310,208,310,225,292,225
460,208,512,208,512,226,460,226
510,208,522,208,522,225,510,225
652,212,696,212,696,225,652,225
460,233,512,233,512,252,460,252
512,233,546,233,546,252,512,252
53,234,82,234,82,248,53,248
84,234,118,234,118,248,84,248
261,234,290,234,290,248,261,248
292,234,326,234,326,248,292,248
632,237,697,237,697,252,632,252
64,252,97,252,97,266,64,266
98,252,141,252,141,266,98,266
261,252,290,252,290,265,261,265
346,251,379,253,378,267,346,265
54,254,62,254,62,265,54,265
293,253,345,253,345,265,293,265
461,260,494,260,494,278,461,278
636,264,697,264,697,277,636,277
53,270,81,270,81,284,53,284
82,270,114,271,113,285,81,283
116,270,134,270,134,284,116,284
136,270,173,270,173,284,136,284
261,270,328,270,328,285,261,285
330,270,350,270,350,284,330,284
353,270,389,270,389,284,353,284
461,285,488,285,488,304,461,304
488,285,522,285,522,304,488,304
632,289,697,289,697,304,632,304
224,346,305,346,305,366,224,366
485,346,524,346,524,365,485,365
633,346,688,346,688,365,633,365
73,348,100,348,100,365,73,365
454,348,485,348,485,365,454,365
126,384,158,384,158,397,126,397
160,384,182,384,182,397,160,397
209,384,244,384,244,397,209,397
245,384,284,384,284,397,245,397
482,384,506,384,506,397,482,397
506,384,524,384,524,397,506,397
646,384,686,384,686,397,646,397
184,385,209,385,209,397,184,397
489,416,505,416,505,429,489,429
506,416,522,416,522,429,506,429
652,416,672,416,672,429,652,429
669,416,686,416,686,429,669,429
82,418,90,418,90,429,82,429
126,417,154,417,154,429,126,429
176,417,189,417,189,429,176,429
188,418,222,416,223,429,189,431
154,418,174,418,174,429,154,429
224,418,254,418,254,429,224,429
82,450,90,450,90,461,82,461
126,449,161,449,161,462,126,462
162,449,189,449,189,462,162,462
496,449,522,449,522,462,496,462
653,449,686,449,686,462,653,462
474,492,524,492,524,505,474,505
646,492,669,492,669,505,646,505
669,492,686,492,686,506,669,506
425,525,460,525,460,538,425,538
461,525,484,525,484,538,461,538
485,525,522,525,522,538,485,538
658,525,686,525,686,538,658,538
625,554,666,554,666,576,625,576
480,556,524,556,524,576,480,576
662,556,688,556,688,576,662,576
389,909,433,909,433,928,389,928
434,910,442,910,442,926,434,926
445,909,520,909,520,928,445,928
123,952,280,956,279,1011,121,1008
389,955,441,957,441,973,388,971
514,956,530,956,530,970,514,970
440,957,453,957,453,969,440,969
454,957,477,957,477,970,454,970
478,957,513,957,513,970,478,970
532,956,562,958,561,973,531,970
290,973,379,969,381,1018,292,1022
573,992,601,992,601,1006,573,1006
389,993,429,993,429,1006,389,1006
430,993,464,993,464,1006,430,1006
464,993,506,993,506,1006,464,1006
507,994,553,992,553,1006,508,1008
554,992,572,994,571,1007,553,1005
601,993,641,993,641,1008,601,1008
641,992,662,994,661,1007,640,1005
